item_idx	slot	url	bytes	status	detail
0	0	https://m.media-amazon.com/images/I/51JISaZ849L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg	4954	ok	
8	0	https://m.media-amazon.com/images/I/61NoyXFYVOL._AC_SL1500_.jpg	40648	ok	
7	0	https://m.media-amazon.com/images/I/61NoyXFYVOL._AC_SL1500_.jpg	40648	ok	
12	0	https://m.media-amazon.com/images/I/51+r73xVYfS._AC_SL1000_.jpg	22467	ok	
2	0	https://m.media-amazon.com/images/I/41xVfh-tQbL._SX433_BO1,204,203,200_.jpg	21379	ok	
10	0	https://m.media-amazon.com/images/I/51OhbQ5rjIL._AC_SL1000_.jpg	47096	ok	
11	0	https://m.media-amazon.com/images/I/71Fy9DdpuzL._AC_SL1500_.jpg	90536	ok	
13	0	https://m.media-amazon.com/images/I/71n0lnl+-iL._AC_SL1500_.jpg	104955	ok	
5	0	https://m.media-amazon.com/images/I/716idjM3LVL._AC_SL1500_.jpg	119098	ok	
9	0	https://m.media-amazon.com/images/I/715VBWR3HQL._AC_.gif	8132	ok	
4	0	https://m.media-amazon.com/images/I/51XS90XAAWL._AC_.jpg	22500	ok	
1	0	https://m.media-amazon.com/images/I/71cYRHqe3lL._SL1500_.jpg	252718	ok	
6	0	https://m.media-amazon.com/images/I/716idjM3LVL._AC_SL1500_.jpg	119098	ok	
15	0	https://m.media-amazon.com/images/I/71HVQsUYNPL._AC_SL1500_.jpg	130175	ok	
23	0	https://m.media-amazon.com/images/I/4188DdlgupL._AC_.jpg	18640	ok	
22	0	https://m.media-amazon.com/images/I/51F8tTEAwrL._AC_SL1280_.jpg	14295	ok	
18	0	https://m.media-amazon.com/images/I/81frIG8xa5L._AC_SL1500_.jpg	119661	ok	
21	0	https://m.media-amazon.com/images/I/41qPtPFn08L._AC_.jpg	12110	ok	
16	0	https://m.media-amazon.com/images/I/71HVQsUYNPL._AC_SL1500_.jpg	130175	ok	
17	0	https://m.media-amazon.com/images/I/71HVQsUYNPL._AC_SL1500_.jpg	130175	ok	
24	0	https://m.media-amazon.com/images/I/61b24gAb3nL._AC_SL1200_.jpg	75800	ok	
19	0	https://m.media-amazon.com/images/I/81frIG8xa5L._AC_SL1500_.jpg	119661	ok	
3	0	https://m.media-amazon.com/images/I/918VM7xgWNL._AC_SL1500_.jpg	462026	ok	
29	0	https://m.media-amazon.com/images/I/61nkR5I0W7L._AC_SL1020_.jpg	79126	ok	
27	0	https://m.media-amazon.com/images/I/71O+fjOeyJL._AC_SL1500_.jpg	211605	ok	
30	0	https://m.media-amazon.com/images/I/41NBA2E87PL._AC_.jpg	12852	ok	
33	0	https://m.media-amazon.com/images/I/31PSMHBTV2L._AC_.jpg	5721	ok	
28	0	https://m.media-amazon.com/images/I/619i6Femg9L._AC_SL1000_.jpg	121848	ok	
34	0	https://m.media-amazon.com/images/I/513a4sYNwQL._AC_SL1200_.jpg	29009	ok	
36	0	https://m.media-amazon.com/images/I/51PPTgbtqxL._AC_SL1000_.jpg	32456	ok	
20	0	https://m.media-amazon.com/images/I/81Mq23cr3PL._AC_SL1500_.jpg	130176	ok	
31	0	https://m.media-amazon.com/images/I/71PdfFCJcfL._AC_SL1500_.jpg	107785	ok	
32	0	https://m.media-amazon.com/images/I/51GHzu5jfzS._AC_SL1200_.jpg	40800	ok	
14	0	https://m.media-amazon.com/images/I/81AiUF2VmpL._AC_SL1500_.jpg	221174	ok	
37	0	https://m.media-amazon.com/images/I/61Z1BAYxiXL._AC_SL1249_.jpg	46700	ok	
25	0	https://m.media-amazon.com/images/I/61zkObgS4rL._AC_SL1500_.jpg	122528	ok	
39	0	https://m.media-amazon.com/images/I/614sNoN4dPS._AC_SL1200_.jpg	85348	ok	
35	0	https://m.media-amazon.com/images/I/51UzWZfIVLL._AC_SL1200_.jpg	25198	ok	
38	0	https://m.media-amazon.com/images/I/71ONCTjS47L._AC_SL1500_.jpg	109881	ok	
26	0	https://m.media-amazon.com/images/I/81YaY-AHALL._AC_SL1500_.jpg	212039	ok	
41	0	https://m.media-amazon.com/images/I/51DuH3RcouL._AC_SL1200_.jpg	37899	ok	
50	0	https://m.media-amazon.com/images/I/41HSC4NZ0BL._AC_.jpg	13907	ok	
52	0	https://m.media-amazon.com/images/I/41Y499J2QPL._AC_.jpg	16377	ok	
48	0	https://m.media-amazon.com/images/I/61A2mySAjNL._AC_SL1500_.jpg	53032	ok	
47	0	https://m.media-amazon.com/images/I/51FxOXRQpCL._AC_SL1500_.jpg	24351	ok	
49	0	https://m.media-amazon.com/images/I/4181ZPS6A2L._AC_.jpg	16976	ok	
